flag;this;depth;left;right;objects;volume
[DBG] ;0x139e5c0;11;0x139ea90;0x139eb00;0;-0.0564971
[DBG] ;0x139ea90;12;0x139eb70;0x139ebe0;0;-0.0242998
[DBG] ;0x139eb70;13;0;0;6;-0.00440601
[DBG] ;0x139ebe0;13;0;0;10;-0.0198938
[DBG] ;0x139eb00;12;0;0;10;-0.0321973
[DBG] ;0x139e4e0;10;0;0;1;-0.00359208
[DBG] ;0x139e400;9;0;0;4;-0
[DBG] ;0x139d6e0;7;0;0;0;-0
[DBG] ;0x139d600;6;0;0;4;0
[DBG] ;0x139b140;4;0;0;3;0.360976
[DBG] ;0x139b060;3;0x139ec50;0x139ecc0;0;1.64568
[DBG] ;0x139ec50;4;0x139ed30;0x139eda0;0;0.327825
[DBG] ;0x139ed30;5;0x139ee10;0x139ee80;0;0.339746
[DBG] ;0x139ee10;6;0x139eef0;0x139ef60;0;0.217438
[DBG] ;0x139eef0;7;0x139efd0;0x139f040;0;0.217438
[DBG] ;0x139efd0;8;0x139f0b0;0x139f120;0;0.217438
[DBG] ;0x139f0b0;9;0x139f190;0x139f200;0;0.217438
[DBG] ;0x139f190;10;0x139f270;0x139f2e0;0;0.217438
[DBG] ;0x139f270;11;0x139f350;0x139f3c0;0;0.217438
[DBG] ;0x139f350;12;0x139f430;0x139f4a0;0;0.217438
[DBG] ;0x139f430;13;0x139f510;0x139f580;0;0.217438
[DBG] ;0x139f510;14;0x139f5f0;0x139f660;0;0.217438
[DBG] ;0x139f5f0;15;0;0;38;0.217438
[DBG] ;0x139f660;15;0;0;17;0
[DBG] ;0x139f580;14;0;0;5;0
[DBG] ;0x139f4a0;13;0x139f6d0;0x139f740;0;0
[DBG] ;0x139f6d0;14;0x139f7b0;0x139f820;0;0
[DBG] ;0x139f7b0;15;0;0;11;0
[DBG] ;0x139f820;15;0;0;4;0
[DBG] ;0x139f740;14;0;0;1;0
[DBG] ;0x139f3c0;12;0x139f890;0x139f900;0;0
[DBG] ;0x139f890;13;0x139f970;0x139f9e0;0;0
[DBG] ;0x139f970;14;0x139fa50;0x139fac0;0;0
[DBG] ;0x139fa50;15;0;0;17;0.0217438
[DBG] ;0x139fac0;15;0;0;6;-0.0217438
[DBG] ;0x139f9e0;14;0;0;1;0
[DBG] ;0x139f900;13;0;0;2;0
[DBG] ;0x139f2e0;11;0;0;5;0
[DBG] ;0x139f200;10;0x139fb30;0x139fba0;0;0
[DBG] ;0x139fb30;11;0x139fc10;0x139fc80;0;0
[DBG] ;0x139fc10;12;0x139fcf0;0x139fd60;0;0
[DBG] ;0x139fcf0;13;0x139fdd0;0x139fe40;0;0.00787909
[DBG] ;0x139fdd0;14;0x139feb0;0x139ff20;0;0.00787909
[DBG] ;0x139feb0;15;0;0;11;0.00787909
[DBG] ;0x139ff20;15;0;0;3;0
[DBG] ;0x139fe40;14;0;0;1;0
[DBG] ;0x139fd60;13;0;0;10;-0.00787909
[DBG] ;0x139fc80;12;0;0;4;0
[DBG] ;0x139fba0;11;0;0;1;0
[DBG] ;0x139f120;9;0x139ff90;0x13a0000;0;0
[DBG] ;0x139ff90;10;0x13a0070;0x13a00e0;0;0
[DBG] ;0x13a0070;11;0x13a0150;0x13a01c0;0;0
[DBG] ;0x13a0150;12;0x13a0230;0x13a02a0;0;0.0217438
[DBG] ;0x13a0230;13;0x13a0310;0x13a0380;0;0.0217438
[DBG] ;0x13a0310;14;0x13a03f0;0x13a0460;0;0.0217438
[DBG] ;0x13a03f0;15;0;0;17;0.0217438
[DBG] ;0x13a0460;15;0;0;6;0
[DBG] ;0x13a0380;14;0;0;1;0
[DBG] ;0x13a02a0;13;0;0;2;0
[DBG] ;0x13a01c0;12;0;0;6;-0.0217438
[DBG] ;0x13a00e0;11;0;0;1;0
[DBG] ;0x13a0000;10;0;0;2;0
[DBG] ;0x139f040;8;0;0;5;0
[DBG] ;0x139ef60;7;0x13a04d0;0x13a0540;0;0
[DBG] ;0x13a04d0;8;0x13a05b0;0x13a0620;0;0
[DBG] ;0x13a05b0;9;0x13a0690;0x13a0700;0;0
[DBG] ;0x13a0690;10;0x13a0770;0x13a07e0;0;0.00787909
[DBG] ;0x13a0770;11;0x13a0850;0x13a08c0;0;0.00787909
[DBG] ;0x13a0850;12;0x13a0930;0x13a09a0;0;0.00787909
[DBG] ;0x13a0930;13;0x13a0a10;0x13a0a80;0;0.00787909
[DBG] ;0x13a0a10;14;0x13a0af0;0x13a0b60;0;0.00787909
[DBG] ;0x13a0af0;15;0;0;11;0.00787909
[DBG] ;0x13a0b60;15;0;0;3;0
[DBG] ;0x13a0a80;14;0;0;1;0
[DBG] ;0x13a09a0;13;0;0;10;0
[DBG] ;0x13a08c0;12;0;0;3;0
[DBG] ;0x13a07e0;11;0;0;1;0
[DBG] ;0x13a0700;10;0;0;10;-0.00787909
[DBG] ;0x13a0620;9;0;0;4;0
[DBG] ;0x13a0540;8;0;0;1;0
[DBG] ;0x139ee80;6;0x13a0bd0;0x13a0c40;0;0.122309
[DBG] ;0x13a0bd0;7;0x13a0cb0;0x13a0d20;0;0.122309
[DBG] ;0x13a0cb0;8;0x13a0d90;0x13a0e00;0;0.122309
[DBG] ;0x13a0d90;9;0x13a0e70;0x13a0ee0;0;0.0217438
[DBG] ;0x13a0e70;10;0x13a0f50;0x13a0fc0;0;0.0217438
[DBG] ;0x13a0f50;11;0x13a1030;0x13a10a0;0;0.0217438
[DBG] ;0x13a1030;12;0x13a1110;0x13a1180;0;0.0217438
[DBG] ;0x13a1110;13;0x13a11f0;0x13a1260;0;0.0217438
[DBG] ;0x13a11f0;14;0x13a12d0;0x13a1340;0;0.0217438
[DBG] ;0x13a12d0;15;0;0;29;0.0217438
[DBG] ;0x13a1340;15;0;0;18;0
[DBG] ;0x13a1260;14;0;0;4;0
